Order ID,Contract Number,Client Name,Client Region,Delivery Country,Division,Product Category,Defense Platform,Serial Number,Order Date,Scheduled Delivery Date,Actual Delivery Date,Delivery Status,Unit Price USD,Quantity Ordered,Total Contract Value USD,Production Cost USD,Gross Margin USD,Quality Control Score,Security Clearance Level,Warranty Period Months
ORD-10015,ALPHA-CNT-2023-459,Ministry of Defense - France,Europe,France,Cyber Security,Quantum Cipher Hardware,Digital Command,SN-ALPHA-534603,18/9/2025,24/2/2026,14/2/2026,Delivered On Time,1496714,2,2993428,1886499.14,1106928.86,97.56,Level 3 Top Secret,24
ORD-10016,ALPHA-CNT-2024-659,Ministry of Defense - Poland,Europe,Poland,Cyber Security,Quantum Cipher Hardware,Maritime,SN-ALPHA-148759,22/2/2023,30/3/2023,17/5/2023,Delivered Delayed,959210,13,12469730,8716497.5,3753232.5,89.83,Level 2 Restricted,48
ORD-10017,ALPHA-CNT-2025-484,Ministry of Defense - Chile,LATAM,Chile,Cyber Security,Quantum Cipher Hardware,Ground Tactical,SN-ALPHA-764000,8/2/2023,31/7/2023,23/8/2023,Delivered Delayed,710046,45,31952070,25527582.73,6424487.27,92.36,Level 3 Top Secret,12
ORD-10018,ALPHA-CNT-2023-203,Ministry of Defense - Qatar,Middle East,Qatar,Land Defense,Artillery Tracking Unit,Airborne,SN-ALPHA-978146,8/6/2025,27/8/2025,24/8/2025,Delivered On Time,82766,15,1241490,817912.94,423577.06,92.44,Level 2 Restricted,24
ORD-10019,ALPHA-CNT-2024-948,Ministry of Defense - France,Europe,France,Tactical Avionics,Cockpit Head Up Display,Maritime,SN-ALPHA-804791,18/12/2023,4/6/2024,26/7/2024,Delivered Delayed,605710,20,12114200,9451169.94,2663030.06,89.8,Level 1 Standard,36
ORD-10020,ALPHA-CNT-2025-590,Ministry of Defense - Canada,North America,Canada,Cyber Security,Threat Intelligence Node,Maritime,SN-ALPHA-717413,11/5/2024,25/9/2024,,In Production,953022,29,27637638,17584563.53,10053074.47,97.5,Level 3 Top Secret,12
ORD-10021,ALPHA-CNT-2023-907,Ministry of Defense - South Korea,Asia Pacific,South Korea,Tactical Avionics,Cockpit Head Up Display,Digital Command,SN-ALPHA-229204,18/6/2025,12/9/2025,22/9/2025,Delivered Delayed,324349,42,13622658,7678863.14,5943794.86,96.42,Level 1 Standard,36
ORD-10022,ALPHA-CNT-2024-984,Ministry of Defense - Canada,North America,Canada,Naval Technology,Submarine Communications Module,Digital Command,SN-ALPHA-909652,21/12/2024,14/5/2025,8/5/2025,Delivered On Time,529806,29,15364374,9234918.73,6129455.27,90.27,Level 2 Restricted,12
ORD-10023,ALPHA-CNT-2025-691,Ministry of Defense - India,Asia Pacific,India,Naval Technology,Sonar Detection Array,Digital Command,SN-ALPHA-572388,5/2/2025,4/8/2025,3/8/2025,Delivered On Time,1253175,3,3759525,2461262.46,1298262.54,92.36,Level 2 Restricted,24
ORD-10024,ALPHA-CNT-2023-766,Ministry of Defense - India,Asia Pacific,India,Cyber Security,Encrypted Comms Server,Ground Tactical,SN-ALPHA-579605,25/6/2024,4/10/2024,26/11/2024,Delivered Delayed,1477197,19,28066743,16977817.92,11088925.08,89.26,Level 1 Standard,60
ORD-10025,ALPHA-CNT-2024-876,Ministry of Defense - UK,Europe,UK,Tactical Avionics,Cockpit Head Up Display,Airborne,SN-ALPHA-790441,6/9/2023,7/10/2023,27/9/2023,Delivered On Time,1126778,3,3380334,1859375.57,1520958.43,95.48,Level 3 Top Secret,24
ORD-10026,ALPHA-CNT-2025-803,Ministry of Defense - Poland,Europe,Poland,Tactical Avionics,Night Vision Targeting System,Digital Command,SN-ALPHA-717942,28/11/2024,6/2/2025,5/2/2025,Delivered On Time,489358,14,6851012,5335228.23,1515783.77,89.44,Level 3 Top Secret,48
ORD-10027,ALPHA-CNT-2023-330,Ministry of Defense - Canada,North America,Canada,Tactical Avionics,Tactical Data Link,Digital Command,SN-ALPHA-628689,12/7/2025,27/11/2025,20/11/2025,Delivered On Time,898124,40,35924960,27337811.52,8587148.48,99.73,Level 1 Standard,48
ORD-10028,ALPHA-CNT-2024-266,Ministry of Defense - Australia,Asia Pacific,Australia,Land Defense,Ballistic Shielding Suite,Digital Command,SN-ALPHA-241176,15/7/2023,9/11/2023,7/11/2023,Delivered On Time,787744,4,3150976,2317773.05,833202.95,97.29,Level 1 Standard,12
ORD-10029,ALPHA-CNT-2025-562,Ministry of Defense - Canada,North America,Canada,Naval Technology,Submarine Communications Module,Airborne,SN-ALPHA-623059,28/8/2024,7/12/2024,3/12/2024,Delivered On Time,70855,11,779405,461371.63,318033.37,92.64,Level 1 Standard,48
ORD-10030,ALPHA-CNT-2023-175,Ministry of Defense - Saudi Arabia,Middle East,Saudi Arabia,Tactical Avionics,Cockpit Head Up Display,Airborne,SN-ALPHA-104548,6/1/2024,15/3/2024,15/3/2024,Delivered On Time,526963,31,16335853,9476279.57,6859573.43,94.88,Level 3 Top Secret,24
ORD-10031,ALPHA-CNT-2024-918,Ministry of Defense - Canada,North America,Canada,Tactical Avionics,Cockpit Head Up Display,Digital Command,SN-ALPHA-656127,8/12/2024,3/3/2025,3/3/2025,Delivered On Time,861527,43,37045661,21001229.21,16044431.79,98.84,Level 3 Top Secret,36
ORD-10032,ALPHA-CNT-2025-966,Ministry of Defense - Brazil,LATAM,Brazil,Land Defense,Artillery Tracking Unit,Digital Command,SN-ALPHA-871976,20/12/2024,15/4/2025,10/4/2025,Delivered On Time,1006228,32,32199296,23537920.34,8661375.66,94.59,Level 3 Top Secret,24
ORD-10033,ALPHA-CNT-2023-134,Ministry of Defense - USA,North America,USA,Land Defense,Ballistic Shielding Suite,Maritime,SN-ALPHA-150931,25/1/2025,22/3/2025,16/5/2025,Delivered Delayed,361385,27,9757395,7632253.79,2125141.21,90.08,Level 1 Standard,12
ORD-10034,ALPHA-CNT-2024-401,Ministry of Defense - Brazil,LATAM,Brazil,Tactical Avionics,Tactical Data Link,Digital Command,SN-ALPHA-680099,15/3/2025,7/5/2025,15/5/2025,Delivered Delayed,677407,30,20322210,13364575.34,6957634.66,92.51,Level 3 Top Secret,48
ORD-10035,ALPHA-CNT-2025-120,Ministry of Defense - Brazil,LATAM,Brazil,Aerospace Systems,Recon Surveillance Drone,Ground Tactical,SN-ALPHA-553834,16/11/2024,23/3/2025,19/3/2025,Delivered On Time,1193413,43,51316759,29752695.74,21564063.26,98.03,Level 2 Restricted,36
ORD-10036,ALPHA-CNT-2023-426,Ministry of Defense - Chile,LATAM,Chile,Tactical Avionics,Tactical Data Link,Ground Tactical,SN-ALPHA-979562,10/12/2024,2/2/2025,,In Production,273068,2,546136,370333.84,175802.16,95.67,Level 1 Standard,60
ORD-10037,ALPHA-CNT-2024-367,Ministry of Defense - Qatar,Middle East,Qatar,Tactical Avionics,Tactical Data Link,Digital Command,SN-ALPHA-713543,8/10/2024,6/2/2025,1/2/2025,Delivered On Time,406427,49,19914923,12689947.79,7224975.21,95.74,Level 3 Top Secret,36
ORD-10038,ALPHA-CNT-2025-207,Ministry of Defense - Canada,North America,Canada,Land Defense,Ballistic Shielding Suite,Airborne,SN-ALPHA-606390,7/5/2023,2/9/2023,30/9/2023,Delivered Delayed,983476,9,8851284,5697626.66,3153657.34,98.32,Level 1 Standard,36
ORD-10039,ALPHA-CNT-2023-175,Ministry of Defense - Canada,North America,Canada,Land Defense,Armored Tactical Vehicle,Maritime,SN-ALPHA-633025,21/10/2024,26/1/2025,27/2/2025,Delivered Delayed,173805,28,4866540,3432529.58,1434010.42,98.64,Level 2 Restricted,24
ORD-10040,ALPHA-CNT-2024-450,Ministry of Defense - UAE,Middle East,UAE,Tactical Avionics,Tactical Data Link,Airborne,SN-ALPHA-919023,19/7/2024,29/8/2024,,Under Testing,859359,31,26640129,19438756.76,7201372.24,98.95,Level 2 Restricted,60
ORD-10041,ALPHA-CNT-2025-274,Ministry of Defense - Australia,Asia Pacific,Australia,Tactical Avionics,Cockpit Head Up Display,Digital Command,SN-ALPHA-285810,22/8/2023,16/1/2024,30/1/2024,Delivered Delayed,165657,34,5632338,3253525.11,2378812.89,89.13,Level 1 Standard,12
ORD-10042,ALPHA-CNT-2023-484,Ministry of Defense - France,Europe,France,Tactical Avionics,Night Vision Targeting System,Ground Tactical,SN-ALPHA-825423,9/2/2023,26/7/2023,15/8/2023,Delivered Delayed,903062,15,13545930,7570787.19,5975142.81,94.48,Level 1 Standard,12
ORD-10043,ALPHA-CNT-2024-264,Ministry of Defense - USA,North America,USA,Land Defense,Artillery Tracking Unit,Maritime,SN-ALPHA-706658,1/6/2024,1/8/2024,8/9/2024,Delivered Delayed,154428,48,7412544,5919528.48,1493015.52,96.81,Level 2 Restricted,36
ORD-10044,ALPHA-CNT-2025-849,Ministry of Defense - Poland,Europe,Poland,Tactical Avionics,Cockpit Head Up Display,Airborne,SN-ALPHA-282085,4/3/2025,8/7/2025,2/7/2025,Delivered On Time,172035,25,4300875,2615715.13,1685159.87,97.01,Level 1 Standard,36
ORD-10045,ALPHA-CNT-2023-176,Ministry of Defense - Qatar,Middle East,Qatar,Tactical Avionics,Tactical Data Link,Airborne,SN-ALPHA-865979,14/7/2023,2/9/2023,24/8/2023,Delivered On Time,1329356,36,47856816,26965288.18,20891527.82,95.22,Level 2 Restricted,48
ORD-10046,ALPHA-CNT-2024-660,Ministry of Defense - Australia,Asia Pacific,Australia,Cyber Security,Threat Intelligence Node,Digital Command,SN-ALPHA-954845,26/8/2024,13/2/2025,2/4/2025,Delivered Delayed,962676,8,7701408,4601351.24,3100056.76,89.98,Level 2 Restricted,60
ORD-10047,ALPHA-CNT-2025-195,Ministry of Defense - India,Asia Pacific,India,Aerospace Systems,Recon Surveillance Drone,Maritime,SN-ALPHA-234618,12/5/2023,25/8/2023,23/8/2023,Delivered On Time,119518,9,1075662,602090.47,473571.53,97.49,Level 3 Top Secret,36
ORD-10048,ALPHA-CNT-2023-446,Ministry of Defense - South Korea,Asia Pacific,South Korea,Naval Technology,Naval Target Radar,Ground Tactical,SN-ALPHA-208584,18/3/2025,18/7/2025,2/8/2025,Delivered Delayed,226355,37,8375135,5426691.53,2948443.47,96.57,Level 1 Standard,48
ORD-10049,ALPHA-CNT-2024-708,Ministry of Defense - Saudi Arabia,Middle East,Saudi Arabia,Aerospace Systems,Flight Control Radar,Digital Command,SN-ALPHA-506224,25/10/2025,20/4/2026,18/4/2026,Delivered On Time,717565,48,34443120,25853021.24,8590098.76,89.03,Level 1 Standard,60
ORD-10050,ALPHA-CNT-2025-728,Ministry of Defense - Chile,LATAM,Chile,Cyber Security,Encrypted Comms Server,Maritime,SN-ALPHA-789461,6/6/2023,24/8/2023,23/8/2023,Delivered On Time,170243,45,7660935,4867077.14,2793857.86,93.52,Level 3 Top Secret,12
ORD-10051,ALPHA-CNT-2023-594,Ministry of Defense - Chile,LATAM,Chile,Naval Technology,Naval Target Radar,Airborne,SN-ALPHA-729718,30/4/2025,16/6/2025,7/6/2025,Delivered On Time,1057378,39,41237742,27260038.28,13977703.72,90.07,Level 2 Restricted,48
ORD-10052,ALPHA-CNT-2024-821,Ministry of Defense - Poland,Europe,Poland,Tactical Avionics,Tactical Data Link,Digital Command,SN-ALPHA-735605,2/6/2023,13/7/2023,7/7/2023,Delivered On Time,988601,32,31635232,22742463.68,8892768.32,92.02,Level 1 Standard,60
ORD-10053,ALPHA-CNT-2025-131,Ministry of Defense - Brazil,LATAM,Brazil,Cyber Security,Encrypted Comms Server,Airborne,SN-ALPHA-437477,9/3/2025,5/6/2025,19/7/2025,Delivered Delayed,446308,17,7587236,5138254.65,2448981.35,88.22,Level 3 Top Secret,48
ORD-10054,ALPHA-CNT-2023-541,Ministry of Defense - Chile,LATAM,Chile,Tactical Avionics,Tactical Data Link,Airborne,SN-ALPHA-628597,12/3/2024,24/6/2024,14/6/2024,Delivered On Time,1151887,35,40316045,30856345.51,9459699.49,92.76,Level 3 Top Secret,36
ORD-10055,ALPHA-CNT-2024-769,Ministry of Defense - Australia,Asia Pacific,Australia,Land Defense,Artillery Tracking Unit,Digital Command,SN-ALPHA-503348,8/11/2023,28/12/2023,25/12/2023,Delivered On Time,72692,37,2689604,2061605.45,627998.55,94.54,Level 1 Standard,24
ORD-10056,ALPHA-CNT-2025-268,Ministry of Defense - Australia,Asia Pacific,Australia,Cyber Security,Encrypted Comms Server,Digital Command,SN-ALPHA-539001,24/9/2023,22/12/2023,15/12/2023,Delivered On Time,729222,19,13855218,7654698.61,6200519.39,95.37,Level 3 Top Secret,12
ORD-10057,ALPHA-CNT-2023-721,Ministry of Defense - Poland,Europe,Poland,Land Defense,Ballistic Shielding Suite,Digital Command,SN-ALPHA-738576,28/7/2025,21/9/2025,12/9/2025,Delivered On Time,442179,44,19455876,14485124.92,4970751.08,95.9,Level 2 Restricted,36
ORD-10058,ALPHA-CNT-2024-544,Ministry of Defense - USA,North America,USA,Cyber Security,Quantum Cipher Hardware,Digital Command,SN-ALPHA-826155,24/9/2025,29/1/2026,12/2/2026,Delivered Delayed,271468,29,7872572,5236704.21,2635867.79,97.95,Level 3 Top Secret,36
ORD-10059,ALPHA-CNT-2025-260,Ministry of Defense - UK,Europe,UK,Cyber Security,Quantum Cipher Hardware,Digital Command,SN-ALPHA-899407,13/10/2025,22/1/2026,19/1/2026,Delivered On Time,1440227,7,10081589,8037144.93,2044444.07,90.56,Level 2 Restricted,60
ORD-10060,ALPHA-CNT-2023-154,Ministry of Defense - UK,Europe,UK,Land Defense,Ballistic Shielding Suite,Airborne,SN-ALPHA-360297,7/2/2025,3/7/2025,6/8/2025,Delivered Delayed,130152,28,3644256,2444596.15,1199659.85,89.43,Level 2 Restricted,48
ORD-10061,ALPHA-CNT-2024-203,Ministry of Defense - UAE,Middle East,UAE,Naval Technology,Naval Target Radar,Ground Tactical,SN-ALPHA-386886,16/9/2023,17/1/2024,2/3/2024,Delivered Delayed,513685,9,4623165,3683386.45,939778.55,98.13,Level 1 Standard,12
ORD-10062,ALPHA-CNT-2025-439,Ministry of Defense - Qatar,Middle East,Qatar,Aerospace Systems,Recon Surveillance Drone,Ground Tactical,SN-ALPHA-517196,4/1/2023,16/3/2023,6/4/2023,Delivered Delayed,1058803,28,29646484,21898148.32,7748335.68,89.86,Level 3 Top Secret,36
ORD-10063,ALPHA-CNT-2023-310,Ministry of Defense - UK,Europe,UK,Tactical Avionics,Night Vision Targeting System,Digital Command,SN-ALPHA-459513,11/2/2023,15/6/2023,19/7/2023,Delivered Delayed,53969,6,323814,198223.14,125590.86,99.6,Level 2 Restricted,60
ORD-10064,ALPHA-CNT-2024-294,Ministry of Defense - UK,Europe,UK,Cyber Security,Threat Intelligence Node,Airborne,SN-ALPHA-408463,1/9/2024,30/12/2024,,In Production,1134309,29,32894961,22519849.01,10375111.99,98.03,Level 2 Restricted,12
ORD-10065,ALPHA-CNT-2025-519,Ministry of Defense - Poland,Europe,Poland,Tactical Avionics,Cockpit Head Up Display,Ground Tactical,SN-ALPHA-574843,10/4/2023,2/7/2023,,Under Testing,381999,17,6493983,5182418.64,1311564.36,93.96,Level 3 Top Secret,48
ORD-10066,ALPHA-CNT-2023-813,Ministry of Defense - Brazil,LATAM,Brazil,Land Defense,Ballistic Shielding Suite,Ground Tactical,SN-ALPHA-943890,28/9/2025,4/1/2026,31/12/2025,Delivered On Time,91743,16,1467888,1122028.12,345859.88,99.68,Level 2 Restricted,36
ORD-10067,ALPHA-CNT-2024-667,Ministry of Defense - Qatar,Middle East,Qatar,Tactical Avionics,Night Vision Targeting System,Ground Tactical,SN-ALPHA-239850,12/9/2025,30/10/2025,20/10/2025,Delivered On Time,220948,23,5081804,2918692.07,2163111.93,89.16,Level 3 Top Secret,36
ORD-10068,ALPHA-CNT-2025-839,Ministry of Defense - Germany,Europe,Germany,Land Defense,Artillery Tracking Unit,Airborne,SN-ALPHA-244892,11/10/2025,23/12/2025,23/12/2025,Delivered On Time,943877,31,29260187,21260247.03,7999939.97,91.61,Level 1 Standard,36
ORD-10069,ALPHA-CNT-2023-847,Ministry of Defense - Japan,Asia Pacific,Japan,Tactical Avionics,Night Vision Targeting System,Digital Command,SN-ALPHA-532794,26/7/2023,8/1/2024,1/1/2024,Delivered On Time,70323,3,210969,134259.59,76709.41,95.59,Level 2 Restricted,12
ORD-10070,ALPHA-CNT-2024-653,Ministry of Defense - Australia,Asia Pacific,Australia,Aerospace Systems,Jet Engine Turbine Component,Digital Command,SN-ALPHA-731792,28/2/2024,30/5/2024,22/6/2024,Delivered Delayed,1377148,21,28920108,15956541.34,12963566.66,92.17,Level 2 Restricted,12
ORD-10071,ALPHA-CNT-2025-371,Ministry of Defense - Brazil,LATAM,Brazil,Aerospace Systems,Recon Surveillance Drone,Digital Command,SN-ALPHA-834018,15/2/2025,27/4/2025,,In Production,608866,26,15830516,10303611.78,5526904.22,99.05,Level 3 Top Secret,12
ORD-10072,ALPHA-CNT-2023-776,Ministry of Defense - Brazil,LATAM,Brazil,Aerospace Systems,Flight Control Radar,Maritime,SN-ALPHA-884782,28/11/2024,25/4/2025,15/4/2025,Delivered On Time,551793,36,19864548,12091324.02,7773223.98,88.78,Level 3 Top Secret,12
ORD-10073,ALPHA-CNT-2024-388,Ministry of Defense - Canada,North America,Canada,Aerospace Systems,Recon Surveillance Drone,Maritime,SN-ALPHA-637179,30/1/2024,5/6/2024,28/5/2024,Delivered On Time,376284,42,15803928,11927498.15,3876429.85,94.54,Level 3 Top Secret,60
ORD-10074,ALPHA-CNT-2025-404,Ministry of Defense - Canada,North America,Canada,Aerospace Systems,Flight Control Radar,Maritime,SN-ALPHA-413433,26/2/2024,4/6/2024,2/6/2024,Delivered On Time,318508,37,11784796,7475480.9,4309315.1,95.03,Level 3 Top Secret,24
ORD-10075,ALPHA-CNT-2023-343,Ministry of Defense - USA,North America,USA,Aerospace Systems,Recon Surveillance Drone,Airborne,SN-ALPHA-984027,1/11/2025,22/4/2026,1/5/2026,Delivered Delayed,441011,22,9702242,7343441.88,2358800.12,95.77,Level 2 Restricted,60
ORD-10076,ALPHA-CNT-2024-198,Ministry of Defense - Chile,LATAM,Chile,Land Defense,Ballistic Shielding Suite,Ground Tactical,SN-ALPHA-835570,25/11/2024,19/2/2025,24/3/2025,Delivered Delayed,832259,42,34954878,19230408.12,15724469.88,91.04,Level 1 Standard,36
ORD-10077,ALPHA-CNT-2025-150,Ministry of Defense - Chile,LATAM,Chile,Cyber Security,Quantum Cipher Hardware,Ground Tactical,SN-ALPHA-674416,29/9/2024,20/1/2025,15/1/2025,Delivered On Time,226968,12,2723616,1707584.09,1016031.91,92.34,Level 1 Standard,60
ORD-10078,ALPHA-CNT-2023-502,Ministry of Defense - Brazil,LATAM,Brazil,Tactical Avionics,Tactical Data Link,Airborne,SN-ALPHA-429159,8/2/2023,24/3/2023,,In Production,107062,42,4496604,2744238.32,1752365.68,98.04,Level 1 Standard,48
ORD-10079,ALPHA-CNT-2024-685,Ministry of Defense - Japan,Asia Pacific,Japan,Aerospace Systems,Recon Surveillance Drone,Airborne,SN-ALPHA-846454,10/11/2024,6/2/2025,20/3/2025,Delivered Delayed,1326914,13,17249882,10494687.45,6755194.55,90.32,Level 1 Standard,12
ORD-10080,ALPHA-CNT-2025-662,Ministry of Defense - Chile,LATAM,Chile,Land Defense,Ballistic Shielding Suite,Digital Command,SN-ALPHA-872610,27/11/2025,4/1/2026,31/12/2025,Delivered On Time,785122,11,8636342,4897208.84,3739133.16,97.84,Level 3 Top Secret,48
ORD-10081,ALPHA-CNT-2023-960,Ministry of Defense - Japan,Asia Pacific,Japan,Land Defense,Ballistic Shielding Suite,Digital Command,SN-ALPHA-680472,24/2/2024,13/6/2024,28/7/2024,Delivered Delayed,719221,16,11507536,6867479.62,4640056.38,94.7,Level 2 Restricted,48
ORD-10082,ALPHA-CNT-2024-602,Ministry of Defense - USA,North America,USA,Land Defense,Artillery Tracking Unit,Maritime,SN-ALPHA-763311,18/3/2025,28/7/2025,29/8/2025,Delivered Delayed,1326485,8,10611880,7310390.34,3301489.66,97.07,Level 2 Restricted,36
ORD-10083,ALPHA-CNT-2025-257,Ministry of Defense - Canada,North America,Canada,Cyber Security,Encrypted Comms Server,Maritime,SN-ALPHA-327900,8/10/2024,14/1/2025,10/1/2025,Delivered On Time,556995,40,22279800,13876756.61,8403043.39,96.49,Level 2 Restricted,12
ORD-10084,ALPHA-CNT-2023-155,Ministry of Defense - Canada,North America,Canada,Tactical Avionics,Cockpit Head Up Display,Airborne,SN-ALPHA-310647,22/10/2024,7/12/2024,30/11/2024,Delivered On Time,138302,40,5532080,3619909.33,1912170.67,90.47,Level 3 Top Secret,48
ORD-10085,ALPHA-CNT-2024-469,Ministry of Defense - UK,Europe,UK,Cyber Security,Threat Intelligence Node,Maritime,SN-ALPHA-319899,22/7/2024,14/10/2024,10/10/2024,Delivered On Time,1083224,45,48745080,31402395.56,17342684.44,94.77,Level 2 Restricted,36
ORD-10086,ALPHA-CNT-2025-103,Ministry of Defense - Poland,Europe,Poland,Naval Technology,Naval Target Radar,Ground Tactical,SN-ALPHA-754487,2/3/2025,24/8/2025,21/8/2025,Delivered On Time,788591,2,1577182,1212815.47,364366.53,98.33,Level 3 Top Secret,12
ORD-10087,ALPHA-CNT-2023-537,Ministry of Defense - UAE,Middle East,UAE,Land Defense,Artillery Tracking Unit,Airborne,SN-ALPHA-849086,16/1/2025,6/5/2025,,In Production,615635,30,18469050,14337980.62,4131069.38,93.14,Level 2 Restricted,24
ORD-10088,ALPHA-CNT-2024-189,Ministry of Defense - UAE,Middle East,UAE,Naval Technology,Naval Target Radar,Airborne,SN-ALPHA-404694,7/11/2025,30/1/2026,,In Production,577409,30,17322270,11662031.94,5660238.06,99.5,Level 1 Standard,36
ORD-10089,ALPHA-CNT-2025-401,Ministry of Defense - UAE,Middle East,UAE,Aerospace Systems,Recon Surveillance Drone,Ground Tactical,SN-ALPHA-819964,24/3/2024,28/8/2024,22/8/2024,Delivered On Time,133793,12,1605516,1015551.47,589964.53,93.38,Level 3 Top Secret,60
ORD-10090,ALPHA-CNT-2023-943,Ministry of Defense - Germany,Europe,Germany,Aerospace Systems,Jet Engine Turbine Component,Digital Command,SN-ALPHA-462066,22/8/2024,31/12/2024,24/12/2024,Delivered On Time,337635,10,3376350,1947141.64,1429208.36,89.7,Level 2 Restricted,12
ORD-10091,ALPHA-CNT-2024-777,Ministry of Defense - Germany,Europe,Germany,Cyber Security,Threat Intelligence Node,Digital Command,SN-ALPHA-805034,16/2/2025,13/7/2025,12/7/2025,Delivered On Time,633510,44,27874440,21974834.84,5899605.16,92.63,Level 1 Standard,48
ORD-10092,ALPHA-CNT-2025-740,Ministry of Defense - UAE,Middle East,UAE,Tactical Avionics,Tactical Data Link,Ground Tactical,SN-ALPHA-239116,20/6/2025,25/8/2025,22/8/2025,Delivered On Time,728525,11,8013775,4528237.55,3485537.45,99.33,Level 1 Standard,48
